District,Latitude,Longitude,Sale Price,Distance
Adalar,40.87625945,29.0910272621096,5568,2500.0
Arnavutköy,41.184182,28.7407289,2265,2500.0
Ataşehir,40.9847487,29.1067199,5512,1409.0935538757885
Avcılar,40.9801353,28.7175465,2454,2500.0
Bağcılar,41.0338992,28.8578982,3264,870.6971339223971
Bahçelievler,41.0002895,28.8637451,3049,948.2061099107135
Bakırköy,40.9835414,28.8679735,9200,948.2061099107135
Başakşehir,41.0825564,28.8004978,3214,2500.0
Bayrampaşa,41.0514523,28.8983046761122,3379,802.0587820898578
Beşiktaş,41.0428465,29.0075283,12190,1294.6602015111132
Beykoz,41.1239355,29.1083151,8863,2500.0
Beylikdüzü,41.0010788,28.642054,2513,2115.122444642134
Beyoğlu,41.0284233,28.9736808,4888,1104.4093678903657
Büyükçekmece,41.0156913,28.5955238,3000,2115.122444642134
Çatalca,41.1435632,28.4619692,2400,2500.0
Çekmeköy,41.04021,29.1750588,3021,2275.4796492804808
Esenler,41.0332539,28.8909528,2678,961.4835112402963
Esenyurt,41.0342402,28.6800178,2095,2437.0219937656416
Eyüp,41.0460444,28.9253241,5998,756.5518455861632
Fatih,41.0096334,28.9651646,3891,1104.4093678903657
Gaziosmanpaşa,41.0575263,28.9156504,3328,756.5518455861632
Güngören,41.0228713,28.8726289,2933,870.6971339223971
Kadıköy,40.9768636,29.074825,7483,1409.0935538757885
Kağıthane,41.08598,28.9726208,3711,1469.1161078146988
Kartal,40.9033333,29.1724999,3550,1482.9296885048482
Küçükçekmece,41.0002141,28.7808891,4096,2500.0
Maltepe,40.9241902,29.150517,4047,1482.9296885048482
Pendik,40.8990646,29.2822115,3016,2500.0
Sancaktepe,41.0104897,29.2123325,2459,2275.4796492804808
Sarıyer,41.1662744,29.0306735,8433,2500.0
Silivri,41.0732043,28.2469222,2287,2500.0
Sultanbeyli,40.9680869,29.2587886,2779,2500.0
Sultangazi,41.1092401,28.8826142,2507,2500.0
Şile,41.1744067,29.6125216,3497,2500.0
Şişli,41.0612733,28.9850203,5529,1393.3166497114787
Tuzla,40.8166668,29.3008332,2869,2500.0
Ümraniye,41.0222688,29.090073,3555,2200.5414125038706
Üsküdar,41.0293083,29.0326345,4770,1294.6602015111132
Zeytinburnu,40.9881179,28.9036351,3693,1518.6307853975957
