District,Sale Price
Adalar,5568
Arnavutköy,2265
Ataşehir,5512
Avcılar,2454
Bağcılar,3264
Bahçelievler,3049
Bakırköy,9200
Başakşehir,3214
Bayrampaşa,3379
Beşiktaş,12190
Beykoz,8863
Beylikdüzü,2513
Beyoğlu,4888
Büyükçekmece,3000
Çatalca,2400
Çekmeköy,3021
Esenler,2678
Esenyurt,2095
Eyüp,5998
Fatih,3891
Gaziosmanpaşa,3328
Güngören,2933
Kadıköy,7483
Kağıthane,3711
Kartal,3550
Küçükçekmece,4096
Maltepe,4047
Pendik,3016
Sancaktepe,2459
Sarıyer,8433
Silivri,2287
Sultanbeyli,2779
Sultangazi,2507
Şile,3497
Şişli,5529
Tuzla,2869
Ümraniye,3555
Üsküdar,4770
Zeytinburnu,3693
